ref_area,country,indicator,indicator_name,year,value
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2000,11.927134
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2001,12.119992
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2002,11.811001
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2003,12.127343
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2004,12.505107
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2005,12.883156
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2006,12.626928
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2007,12.645207
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2008,11.886748
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2009,12.074104
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2010,12.257574
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2011,11.772565
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2012,12.267024
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2013,12.507699
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2014,12.65408
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2015,12.855394
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2016,12.880799
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2017,13.084312
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2018,13.390205
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2019,13.4860325
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2020,12.992733
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2021,12.969736
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2022,13.098627
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2023,13.384285
ZAF,South Africa,AG_SH_OFFFR,Off-Farm Employment Share,2024,13.444483
