ref_area,country,indicator,indicator_name,year,value
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2024,79.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2023,79.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2022,79.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2021,79.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2020,79.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2019,79.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2018,78.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2017,78.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2016,79.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2015,81.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2014,81.0
ZAF,South Africa,FH_FIW_TOTAL,Freedom House: Total Freedom Score (Maximum Score = 100),2013,81.0
